account_id,customer_id,account_type,status,base_currency,opened_at
db65dd4b-b9e6-4d83-be55-7500c8ddcdf5,ad583e42-7aa8-41f3-836f-d3ba07c53f16,WALLET,ACTIVE,INR,2025-12-28T20:47:06Z
967a972c-f731-46be-8660-f57ccf633ffd,f3ce4803-b9b4-4351-b28c-4c6cc8cd5186,CHECKING,ACTIVE,AED,2025-05-29T21:17:04Z
16f3d9de-72a2-420d-b92b-7ebeefb3204d,44490729-af30-4aa5-9543-c7aa63533ae1,WALLET,ACTIVE,EUR,2025-02-05T08:21:08Z
aaa360f5-28cc-4467-808b-e598c02792b6,7a42982a-c838-4862-abc0-f45dd0be068c,CHECKING,ACTIVE,GBP,2025-05-23T18:12:35Z
3b28788c-fca6-48f8-9b11-9d0e9dab28c4,3edad294-c422-4390-b874-3e3ffd0d95e1,CHECKING,ACTIVE,AED,2025-08-28T15:02:16Z
4488cb73-845f-4719-860e-2500c323e2d2,fb8321d6-646a-49b6-ac1f-0cc54325af81,CHECKING,ACTIVE,INR,2025-05-28T12:01:48Z
23477201-534e-4144-8d14-5293cbf6c11e,b50527ba-2f26-4bde-8393-2b724cb6b9a3,CHECKING,ACTIVE,AED,2025-01-19T22:56:28Z
06074e51-3b83-448c-a287-108ce95d23ff,47bb59ca-9c36-434f-ab82-ef5828aa7257,WALLET,ACTIVE,USD,2025-04-25T01:43:59Z
1508e6db-5ef5-4555-9310-cd92ae0df73f,69c1a04d-fea5-434b-a1e5-9376a5f3e88f,CHECKING,ACTIVE,GBP,2025-09-19T10:42:07Z
6a795436-6e4a-4096-bb83-8f79ed31f0ca,a272a72d-9d6f-41c6-8220-452771c2c158,CHECKING,ACTIVE,SGD,2025-09-17T12:17:07Z
27befbd9-95dc-4568-bb0a-c5186e1c964e,f56416d4-8d7f-4345-9703-2eaf438900cb,CREDIT,ACTIVE,INR,2025-04-07T17:07:24Z
a690aec2-673d-4810-87d2-7e6d7441adcf,6ba20506-793a-4050-a553-ba40c4dbc3c5,CHECKING,ACTIVE,INR,2025-01-14T22:54:51Z
9fac2a21-0f7a-4023-849d-07786d97d06f,3639c056-821a-4ce7-ad42-89bd2517b030,WALLET,ACTIVE,AED,2025-02-19T16:39:50Z
861f5df7-1991-434f-865c-8722af346090,2814e5ed-f21c-4d51-83d1-bc1b4410d3f2,CREDIT,ACTIVE,USD,2025-11-30T05:07:18Z
dbf293c6-ade3-4b46-bbad-94815f4d9cd2,328da210-a1e0-4416-b5af-52da6b37bee8,WALLET,ACTIVE,SGD,2025-01-19T16:47:09Z
f3b7ecff-6765-4b76-9ea2-2e5d066f85dd,e61c24c1-e5f8-400a-9ed0-58dac62f181a,CREDIT,ACTIVE,EUR,2025-06-08T10:24:58Z
17f1f941-3db4-4cb2-bec0-09fba637cfe5,e5f953dd-6422-4a21-9685-af991c54f04c,CHECKING,ACTIVE,USD,2025-10-08T00:53:55Z
32b1b9f7-670c-42fb-b53c-656d8bb6530a,67d24032-53a4-483a-9710-e8fae901951f,CHECKING,ACTIVE,AED,2025-02-05T09:08:33Z
400a79f7-9a66-435c-8594-3d8a9ca99fa5,8e6f86c6-49d7-47a4-ad01-57728e422cb7,CREDIT,ACTIVE,INR,2025-01-23T06:20:54Z
f950731f-2744-4c4b-98bd-9a333da5ae86,376c4413-4309-4a3b-baf3-933ccae73459,CHECKING,ACTIVE,INR,2025-02-02T01:02:57Z
c6202b8b-3bd0-418c-a6df-efdef7d94617,e23c7541-6ef6-4b81-a08c-0815f6efd194,CREDIT,ACTIVE,AED,2025-01-04T15:54:40Z
5c66f10c-2457-42af-ad3d-8b628ae0a8ae,b9c3a445-dc6b-4c1f-8789-8f710c6779ea,WALLET,ACTIVE,AED,2025-04-29T05:30:29Z
9255c867-ece6-460e-a73d-dbcb9c5489ec,73b4f322-8ad0-42e3-bff5-5e0835a519d2,WALLET,ACTIVE,INR,2025-07-29T17:56:37Z
11af94cb-918f-4f26-83ff-a23959c46199,3386591c-f6f9-4fb2-aea2-510b2e7a6bf5,WALLET,ACTIVE,EUR,2025-01-27T16:24:38Z
407a9be9-c0a5-44b4-ba01-75725ba09fa1,f99caadd-c871-44c4-a632-3ddb9f8683bc,CREDIT,ACTIVE,GBP,2025-11-17T09:03:01Z
f065902e-8e2c-4c94-b354-aaaaa3128553,1f0bcdd9-8150-465e-b9ef-db890aa84df0,CHECKING,ACTIVE,SGD,2025-07-07T06:33:13Z
23c99559-884e-433c-95d5-ff336e95895a,47bb59ca-9c36-434f-ab82-ef5828aa7257,CHECKING,ACTIVE,GBP,2025-11-24T05:43:25Z
94d0716e-da5a-43be-a200-848fbe9e75f9,2221fcbf-ec81-4a8a-bde4-0235bedbd254,CHECKING,ACTIVE,INR,2025-09-02T22:50:47Z
6fe5c6c8-66ae-4752-bf85-cead0906061a,a7357cf0-769d-4dad-954f-ba19595c6d00,CHECKING,ACTIVE,EUR,2025-06-07T10:08:42Z
f10a664a-f1aa-427f-97d8-04b934ca5f61,5061c0c2-b2c2-40de-8a74-931ce1d1b40d,WALLET,ACTIVE,AED,2025-11-14T09:38:09Z
313bd23f-b48a-4c96-a41b-236f28235143,f56416d4-8d7f-4345-9703-2eaf438900cb,CHECKING,ACTIVE,USD,2025-09-12T10:16:50Z
1b73bda9-4adf-40da-b7b7-303d035ca6fd,328da210-a1e0-4416-b5af-52da6b37bee8,WALLET,ACTIVE,USD,2025-11-01T09:23:49Z
1cc133d2-b309-4349-b1d7-4a05a590f05e,699905ef-d4ee-45aa-8f84-d3a8087a117c,WALLET,ACTIVE,SGD,2025-05-02T11:39:14Z
95f4edba-32a2-4c7d-9921-9abb4c9ea833,821a5c44-a223-469e-b380-d3ba9b411071,WALLET,ACTIVE,EUR,2025-01-06T11:42:57Z
6b3c1696-4d36-4532-a3bb-3c9031f2df98,8e6f86c6-49d7-47a4-ad01-57728e422cb7,CHECKING,ACTIVE,GBP,2025-12-27T23:46:04Z
5cd25660-90e2-4277-af73-21b2ad620d29,5037752b-9006-4b9c-a823-37525bfc2251,WALLET,SUSPENDED,GBP,2025-08-01T12:38:54Z
377fb173-f24e-417d-b8df-17a1b627b530,ef0886a1-baee-4cf8-91cf-769b2d783e22,CHECKING,ACTIVE,AED,2025-11-22T23:02:02Z
22d5d576-5ed5-4fdc-9713-7f170896bbf4,6bbf17d7-841a-4f0d-a6a2-e5e0ba165f1e,CREDIT,ACTIVE,AED,2025-02-22T03:56:10Z
d7cc4ad4-c370-4fbc-a282-6d6c7343b257,73b4f322-8ad0-42e3-bff5-5e0835a519d2,CHECKING,ACTIVE,INR,2025-11-12T11:00:54Z
df8ea436-e150-457c-aca9-82438a106f9a,066cb5fd-9415-40e7-946d-9e8ffd40754d,WALLET,ACTIVE,AED,2025-09-12T14:28:30Z
2867cdd6-c52b-4e98-9fec-c8441cd7ee14,9e6e5925-36b3-4ca5-879c-7d24984d9615,WALLET,ACTIVE,INR,2025-06-26T17:10:46Z
d94efb0f-abae-4161-8034-565a1340d5d6,f3261457-dfbe-405e-a0a8-c1a61e609adf,WALLET,ACTIVE,INR,2025-09-14T19:15:38Z
3e500b12-f010-4bb1-92a7-9423999dbf11,7c7e74ea-627c-447a-8626-486eb7a308bb,WALLET,ACTIVE,GBP,2025-08-04T18:56:34Z
bdc614aa-0fa8-4ecd-8b8e-3e49802bae45,74fa19e3-852a-45e0-83d8-1de6f9047b67,WALLET,ACTIVE,GBP,2025-08-13T11:10:04Z
71f2c29f-9121-4add-899a-fe0621001802,61244b39-435f-4620-9ff6-e0b037510628,CHECKING,ACTIVE,EUR,2025-10-31T17:33:31Z
eb892a0a-f273-4fdb-b33d-522c36f28b17,e74213e2-ad76-4e35-bc0d-e2c32c7d167b,CHECKING,ACTIVE,USD,2025-02-09T02:25:04Z
0faecde6-f4c7-4ef3-9fa6-a8ff744ec8de,e74213e2-ad76-4e35-bc0d-e2c32c7d167b,WALLET,ACTIVE,USD,2025-03-26T08:42:21Z
